Project,EventId,EventTemplate,Differ,Note,ManualEmotion
OpenStack,E30,"[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] <*> <*> <*> MB, <*> <*>.<*> MB",in our manuscript,"repeating with: [instance: <>] memory limit: <>.<> MB, free: <>.<*> MB",
OpenStack,Loghub2.0-E48,Error during <*>,in loghub2.0,missing by us,
OpenStack,Loghub2.0-E6,Unable to validate token: Failed to fetch token data from identity server,in loghub2.0,missing by us,
Hadoop,Loghub2.0-E44,Retrying connect to server: <*>. Already tried <*> time(s); maxRetries=<*>,in loghub2.0,missing by us,
Hadoop,Loghub2.0-E183,<*> metrics system stopped.,in loghub2.0,missing by us,
Hadoop,E119,application_<*>_<*>,in our manuscript,repeating with: Error communicating with RM: Resource Manager doesn't recognize AttemptId: application_<*>,
Hadoop,E133,cleanup failed for container container_<*>_<*>_<*>_<*> : java.lang.IllegalArgumentException: java.net.UnknownHostException: <*>,in our manuscript,different full log datatset,
Hadoop,E152,Diagnostics report from attempt_<*>,in our manuscript,repeating with: Diagnostics report from attempt_<*>: Container killed by the ApplicationMaster.,
Hadoop,E153,Diagnostics report from attempt_<*> Container released on a *lost* node,in our manuscript,repeating with: Diagnostics report from attempt_<*> Container released on a *lost* node,
Hadoop,E176,Failure sending status update: java.io.IOException: Failed on local exception: java.io.IOException: An existing connection was forcibly closed by the remote host; Host Details : local host is: <*> destination host is: <*>,in our manuscript,different full log datatset,
Hadoop,E179,Final Stats: PendingReds:<*> ScheduledMaps:<*> ScheduledReds:<*> AssignedMaps:<*> AssignedReds:<*> CompletedMaps:<*> CompletedReds:<*> ContAlloc:<*> ContRel:<*> HostLocal:<*> RackLocal:<*>,in our manuscript,repeating with: Final Stats: PendingReds:<*> ScheduledMaps:<*> ScheduledReds:<*> AssignedMaps:<*> AssignedReds:<*> CompletedMaps:<*> CompletedReds:<*> ContAlloc:<*> ContRel:<*> HostLocal:<*> RackLocal:<*>,
Hadoop,E194,java.io.IOException: An existing connection was forcibly closed by the remote host; Host Details : local host is: <*> destination host is: <*>,in our manuscript,parsed from stack trace lines,
Hadoop,E195,"java.io.IOException: Couldn't set up IO streams; Host Details : local host is: ""MININT-FNANLI5<*>""; destination host is: ""msra-sa-<*>"":<*>;",in our manuscript,parsed from stack trace lines,
Hadoop,E196,java.net.NoRouteToHostException: No route to host: no further information; For more details see: http://wiki.apache.org/hadoop/NoRouteToHost,in our manuscript,parsed from stack trace lines,
Hadoop,E197,"java.net.SocketException: Permission denied: no further information; Host Details : local host is: ""MININT-FNANLI5<*>""; destination host is: ""msra-sa-<*>"":<*>;",in our manuscript,parsed from stack trace lines,
Hadoop,E54,job_<*>Job Transitioned from INITED to SETUP,in our manuscript,different full log datatset; identified by loghub 1.0 2k GT,
Hadoop,E55,job_<*>Job Transitioned from NEW to INITED,in our manuscript,different full log datatset; identified by loghub 1.0 2k GT,
Hadoop,E56,job_<*>Job Transitioned from SETUP to RUNNING,in our manuscript,different full log datatset; identified by loghub 1.0 2k GT,
Hadoop,E205,"MapCompletionEvents reques2015-<*>-<*> <*>:<*>:<*>,<*> INFO [main] org.apache.hadoop.metrics2.impl.MetricsConfig: loaded properties from hadoop-metrics2.properties",in our manuscript,repeating with: loaded properties from hadoop-metrics2.properties,
Hadoop,E219,no further information,in our manuscript,parsed from stack trace lines,
Hadoop,E78,Processing the event EventType: JOB_SETUP,in our manuscript,different full log datatset; identified by loghub 1.0 2k GT,
Hadoop,E79,Processing the event EventType: TASK_ABORT,in our manuscript,different full log datatset; identified by loghub 1.0 2k GT,
Hadoop,E87,"reduceResourceRequest:<memory:<*>, vCores:<*>>",in our manuscript,different full log datatset; identified by loghub 1.0 2k GT,
Hadoop,E243,Service <*> failed in state STOPPED; cause: org.apache.hadoop.yarn.exceptions.YarnRuntimeException: java.net.NoRouteToHostException: No Route to Host from MININT-FNANLI5<*> to msra-sa-<*>:<*> failed on socket timeout exception: java.net.NoRouteToHostException: No route to host: no further information; For more details see: http://wiki.apache.org/hadoop/NoRouteToHost,in our manuscript,different full log datatset,
Hadoop,E244,Service <*> failed in state STOPPED; cause: org.apache.hadoop.yarn.exceptions.YarnRuntimeException: java.nio.channels.ClosedChannelException,in our manuscript,different full log datatset,
Hadoop,E248,Skipping cleaning up the staging dir. assuming AM will be retried.,in our manuscript,different full log datatset,
Hadoop,E254,Stopped JobHistoryEventHandler. super.stop(),in our manuscript,different full log datatset,
Hadoop,E262,Task <*> done.,in our manuscript,repeating with: Task <*> done.,
Hadoop,E264,Task attempt_<*> failed : org.apache.hadoop.fs.FSError: java.io.IOException: There is not enough space on the disk,in our manuscript,different full log datatset,
Hadoop,E265,Task cleanup failed for attempt attempt_<*>_<*>_m_<*>_<*>,in our manuscript,repeating with: Task cleanup failed for attempt attempt_<*>,
Hadoop,E100,Task succeeded with attempt attempt_<*>,in our manuscript,repeating with: Task succeeded with attempt <*>,joy
Hadoop,E269,Task: attempt_<*> - exited : org.apache.hadoop.mapreduce.task.reduce.Shuffle$ShuffleError: error in shuffle in fetcher#<*>,in our manuscript,different full log datatset,
Hadoop,E267,Task: attempt_<*> - exited : org.apache.hadoop.util.DiskChecker$DiskErrorException: Could not find any valid local directory for output/attempt_<*>/file.out,in our manuscript,different full log datatset,
Hadoop,E108,"Thread Thread[eventHandlingThread,<*>,main] threw an Exception.",in our manuscript,different full log datatset,
Hadoop,E111,Using mapred newApiCommitter.,in our manuscript,different full log datatset,
Hadoop,E280,When stopping the service JobHistoryEventHandler : org.apache.avro.AvroTypeException: Attempt to process a enum when a union was expected.,in our manuscript,different full log datatset,surprise
Hadoop,E281,When stopping the service JobHistoryEventHandler : org.apache.hadoop.yarn.exceptions.YarnRuntimeException: java.net.NoRouteToHostException: No Route to Host from MININT-FNANLI5<*> to msra-sa-<*>:<*> failed on socket timeout exception: java.net.NoRouteToHostException: No route to host: no further information; For more details see: http://wiki.apache.org/hadoop/NoRouteToHost,in our manuscript,different full log datatset,
Hadoop,E282,When stopping the service JobHistoryEventHandler : org.apache.hadoop.yarn.exceptions.YarnRuntimeException: java.nio.channels.ClosedChannelException,in our manuscript,different full log datatset,
