Filename,Sentence,Manual-Sentiment
AMQ-3176,"End result is lots of connections that are taking too long to shutdown and in particular:  where there is an overlap, with two connections trying to stop each other..",0
AMQ-3176,"In particular,",0
AMQ-3176,"It tries to stop the existing connection but does it in a sync call so the potential to block and lock is present.. 2011-01-26 16:35:54,618 [..] INFO TransportConnection - The connection to '/xx:51585' is taking a long time to shutdown.. 2011-01-26 16:35:56,500 [..] INFO TransportConnection - The connection to '/xx:51585' is taking a long time to shutdown.{code}.",-1
AMQ-3176,Problem appears when the initiator of a duplex network connector sees a failure and trys to reconnect and the responder sees the old transport connector in place.,0
AMQ-3251,Here is the config used to access to AMQ Broker,0
AMQ-3251,The following error is generated when trying to configure ActiveMQ with JTA/XA.,0
AMQ-3567,.,0
AMQ-3567,.,0
AMQ-3567,.,0
AMQ-3567,.,0
AMQ-3567,.,0
AMQ-3567,.,0
AMQ-3567,.,0
AMQ-3567,A patch will be added to this issue.,0
AMQ-3567,Here is the stack trace of the call that is causing the interrupt.,0
AMQ-3567,I was able to create a testcase that reproduces this issue.,0
AMQ-3567,Subsequent testing with this change does not cause the interrupt exception.,0
AMQ-3567,The current process generates the following interrupt exception.,0
AMQ-3567,The problem is that the calling thread is part of the ASYNC_TASKS executor and therefore it is generating the interrupt exception.,0
AMQ-3567,The process that activemq uses to check if there has been inactivity for a connection has a flaw when it tries to close the connection because of inactivity.,0
AMQ-3567,The solution is to replace the shutdownNow method call with shutdown.,0
AMQ-3567,The test will pass either way.,0
AMQ-3567,"The testcase uses the useInactivityMonitor=false attribute to reproduce this issue, thanks Gary for the hint.",1
AMQ-3567,This call causes the executor to call the interrupt method for all active threads in the executor.,0
AMQ-3567,This is caused because the spawned thread in the AbstractInactivityMonitor classes readCheck method calls the onException method.,0
AMQ-3567,This method will then call the stopMonitorThreads method which subsequently calls the shutdownNow method of the ASYNC_TASKS executor.,0
AMQ-3567,Unfortunately there aren't any steps that I can use to determine that the raised interrupted exception was raised or not.,-1
AMQ-4186,The duplicate contentyType directive seems to only error out with the current jsp compiler.,0
AMQ-4186,with the latest dependencies we get:.,0
AMQ-4369,"It is possible to get an IOException before the current default handler is installed, so it is bypassed.",0
AMQ-4369,It needs to be set earlier.,0
AMQ-4411,Adding a '*' clause to <Bundle-NativeCode> sorts this.,0
AMQ-4411,"But also, it allows the bundle to used with the default store where there are no native deps at all.",0
AMQ-4411,levelDB will fallback to the java impl in cases where the jni deps are not found.,0
AMQ-4411,When the bundle is used on a platform where we don't have native libs we fail with:.,0
AMQ-4576,Code example:.,0
AMQ-4576,On the server shows the following messages:.,0
AMQ-4576,"The test failed when using the current fusesource client (1.5) on ActiveMQ 5.9, on Mosquitto mqtt the code works correctly.",-1
AMQ-4576,When more than one topic is supplied to BlockingConnection.subscribe the BlockingConnection.receive fails and the following exception is thrown:.,0
AMQ-5141,.,0
AMQ-5141,.,0
AMQ-5141,.,-1
AMQ-5141,.,0
AMQ-5141,[1].,0
AMQ-5141,"As this may happen with any other client, all client users will require write access to ActiveMQ.DLQ, which may not be appropriate from a security point of view.",-1
AMQ-5141,If messages are to be expired they get sent to ActiveMQ.DLQ by default.,0
AMQ-5141,If the broker handles a RemoveInfo command it may also kick off a message expiry check for (I presume) any prefetched messages.,-1
AMQ-5141,If the broker is security enabled with authorization turned on and messages get sent to DLQ as a result of the expiry check then the broker uses the client's security context when sending the messages to DLQ.,0
AMQ-5141,In my opinion this same broker internal security context should be used when expiring messages as part of the RemoveInfo command.,0
AMQ-5141,See stack trace in next comment..,0
AMQ-5141,The broker regularly runs an expiry check and uses a broker internal security context for this task.,0
AMQ-5141,The broker should not use the client's security context.,-1
AMQ-5141,The current behavior can raise the following SecurityException if the client user does not have write access to ActiveMQ.DLQ,0
AMQ-5141,This implies the client user needs to have write access to ActiveMQ.DLQ.,0
AMQ-5300,And I see the remaining files in the data store folder (notice the 0000000000000000.log is gone):.,0
AMQ-5300,"At this point, I shut down the broker and here is the listing of what's left in the data store:.",0
AMQ-5300,"Configure ActiveMQ 5.10.0 to use a LevelDB data store with the log size of about 1MB.. Then I started up the broker and published 10,000 persistent messages to a queue, causing the log files to rotate (twice in my case).",0
AMQ-5300,Here are the steps to reproduce what I am seeing:.,0
AMQ-5300,"However, if a log rotation has already occurred, you will get an infinite loop upon restart..",-1
AMQ-5300,"I am doing this to force a replay of the logs to regenerate the index (due to the serialization issue I ran into).. And finally, this is the message I am getting once I start the broker back up (infinite loop of this same message, and I have to shut down the broker):",0
AMQ-5300,I see the following files in the data store folder:.,0
AMQ-5300,I see the following log statements:.,0
AMQ-5300,"I then consume 5,000 messages, which causes the first log to be deleted since it is no longer being referenced.",0
AMQ-5300,I then delete the index folder within the data store (in my case "0000000000301737.index").,0
AMQ-5300,This will replay the logs to regenerate the index.,0
AMQ-5300,"While searching for a workaround for issue AMQ-5284, I came across this issue.. To work around the serialization issue (AMQ-5284), I deleted the index snapshots from the LevelDB datastore.",0
AMQ-5384,AMQ 5.9 gets stuck under 30-50 req/second load when using JDBC persistence - this affects our application as it hangs during performance testing (this happens almost every night)..,-1
AMQ-5384,"Call to {{removeMessage}} already has one DB connection passed in {{context}} method parameter, but calling {{persistenceAdapter.getStoreSequenceIdForMessageId}} creates another DB connection in the same transaction..",-1
AMQ-5384,"Deadlock occurs when all DB connections are used by {{context}}, so that  {{removeMessage}} can't fetch its own connection.. Possible solution would be to pass {{ConnectionContext}} object to {{persistenceAdapter.getStoreSequenceIdForMessageId}} method, so that the method would reuse same connection.",0
AMQ-5384,Following stack shows the same thread pending for second DB connection (without releasing the first one):.,0
AMQ-5384,Following stacktraces indicate that there's a deadlock on DB connection:.,0
AMQ-5384,Problem seems to be related with JDBCMessageStore.removeMessage method:.,0
AMQ-5384,"Stack logged by C3P0, showing when first DB connection has been picked from the pool:.",0
AMQ-5525,failures:.,0
AMQ-5525,root cause - somewhere in blueprint converter.,0
AMQ-5851,1,0
AMQ-5851,2,0
AMQ-5851,3,0
AMQ-5851,4,0
AMQ-5851,Enable TTL property for JMS client.,0
AMQ-5851,Keep TTL value very low say 5 sec.,0
AMQ-5851,Make sure that some message should expired when they are in MDB means running inside MDB.,0
