EventId_In_Loghub2.0,EventTemplate,ManualEmotion
E852,ts_ip2pr: Unknown symbol <*>,
E1095,<*> exiting on signal <*>,
E977,<*>: Using <*> MHz HPET timer.,
E749,Now running on <*>'s privileges.,
E363,no server suitable for synchronization found,
E307,mount.panfs: panfs is not configured in the kernel,
E284,"THH(<*>): <*>[<*>]: print_track_arr: idx=<*>, token=<*>, counter=<*>",
E653,INFO: parameter <*> not processed,
E912,MStatPreInitialize(),
E395,"Device: <*>, is SMART capable. Adding to <*> list.",
E759,mptbase: Initiating <*> bringup,
E850,Probing IDE interface <*>...,
E673,"the NTP socket is in use, exiting",
E705,<*> device driver built for kernel <*>-<*>,
E1011,MLimitEnforceAll(<*>),
E760,"usb <*>: USB disconnect, address <*>",
E5,pan_ips: error -- IPS command timeout command timed out expire_time=<*> now=<*> lifetime=<*> grace_timeouts=<*> cd=<*> session=<*> (connection info not avail <*> (pan_sock: socket not connected)) id=(<*>),
E1037,ACPI: HPET id: <*> base: <*>,
E809,execvp: Permission denied,
E544,recv_rply: can't decode RPC message!,
E802,Updated timestamp for job <*> to <*>,
E1186,<*> pages of RAM,
E369,Warning: we failed to resolve data source name <*>,
E965,"For info, please visit <*>",
E8,Instrumentation Service EventID: <*> Power supply detected a failure Sensor location: <*> Status Chassis location: <*> Previous state was: <*> Power Supply type: <*> Power Supply state: <*>,
E752,<*>: asking for cache data failed,
E1030,Subsystem revision <*>,
E547,pan_trace: panfs trace buffer <*> added.,
E907,segfault at <*> rip <*> rsp <*> error <*>,
E336,Uniform Multi-Platform E-IDE driver Revision: <*>,
E786,Node <*> HighMem per-cpu: empty,
E266,THH(<*>): <*>[<*>]: XHH_hob_query_port_prop: cmdif returned <*>,
E457,Capability LSM initialized as secondary,
E828,[INFO]: IB MGR connected to <*>,
E168,"WARNING: cannot open file '<*>', errno: <*> (No such file or directory)",
E1127,<*> route add <*> via <*> dev <*>,
E926,Switching to runlevel: <*>,
E199,THH(<*>): <*>[<*>]: XHH_hob_create: CMD_error in XHH_cmd_SYS_EN (<*>),
E715,Key exchange failed in remote: <*>,
E836,<*> <*> INFO: pathname returned '<*>',
E1168,MSUListen(<*>),
E624,"<*> driver <*> ports, IRQ sharing enabled",
E1130,MSysCheckFB(),
E1039,MOSAL(<*>): map_list = <*>,
E488,"ACPI: PCI interrupt <*> -> GSI <*> (level, <*>) -> IRQ <*>",
E1100,Loading keyring,
E566,Lustre: <*>:(<*>) Invoked portals upcall <*>,
E1135,MPSIFromXML(<*>),
E120,pan_sam: <*>: error report: failure <*>: <*> osd_op=<*> offset=<*> length=<*> error=<*> (rmm: <*>),
E10,Instrumentation Service EventID: <*> Voltage sensor returned to a normal value Sensor location: <*> Chassis location: <*> Previous state was: <*> Discrete voltage state: <*>,
E832,megaraid: <*> (Release Date: <*>),
E47,pan_ips: error -- cmd_destroy: invoking callback on aborted (rc=<*> (IPS: command timed out)) command <*>,
E1226,failed,
E1049,"MRMQueueQuery(<*>,<*>,<*>)",
E899,recv_rply: [<*>] RPC status <*>,
E393,"Caught signal <*>, un-registering and exiting.",
E769,"MCredProcessConfig(<*>,<*>,<*>,<*>,<*>,<*>)",
E509,LAPIC (acpi_id[<*>] lapic_id[<*>] disabled),
E358,DHCPDISCOVER from <*> via <*>: network <*>: no free leases,
E666,Unknown cmd fd(<*>) cmd(<*>){<*>} arg(<*>) on <*>,
E71,Node <*> <*> <*> min:<*> low:<*> high:<*> active:<*> inactive:<*> present:<*> pages_scanned:<*> all_unreclaimable? <*>,
E555,Changing permissions on special file <*>,
E858,daemon started -- version <*>,
E410,Wrote <*> new dynamic host decls to leases file.,
E718,can't open <*>: Permission denied,
E592,authentication cancelled by user: <*>,
E703,<*> <*> INFO: filename only returned '<*>',
E7,Instrumentation Service EventID: <*> Memory device status is non-critical Memory device location: <*> Possible memory module event cause:Single bit warning error rate exceeded,surprise
E392,mount.panfs warning: couldn't ping address <*>,
E74,"pan_ips: error -- worker initiator write callback, <*> (pan_sock: timeout), err_loc=<*>, <*>",
E869,UDP: short packet: From <*> <*> to <*>,
E470,Internet Systems Consortium DHCP Server <*>,
E721,printk: <*> messages suppressed.,
E63,pan_ips: error -- cmd_destroy: destroying aborted (rc=<*> (pan_sock: timeout)) command <*> (<*>),
E763,No subnet declaration for <*> (<*>).,
E798,"using <*>, <*> (pan_sock: timeout)",
E649,lost page write due to I/O error on <*>,
E767,[<*>]: IB node <*> port <*> is INIT state,
E1018,<*>: <*>:USB HID core driver,
E245,RRD_update (<*>): opening '<*>': Too many open files in system,
E708,PCI: Using ACPI for IRQ routing,
E814,Installing public key data,
E1115,"Device: <*>, opened",
E1187,Disk quotas <*>,
E1073,FS: <*>(<*>) GS:<*>(<*>) knlGS:<*>,
E942,"MRMWorkloadQuery(<*>,<*>,<*>)",
E374,megaraid: <*> outstanding commands. Max wait <*> sec,
E1021,MRMClusterQuery(),
E403,panfs mount: Directory Caching is turned ON,
E347,in your dhcpd.conf file for the network segment,
E674,call_verify: auth check failed,
E1206,Node <*> DMA: <*> = <*>,
E176,[INFO]: Receive SystemImageGUID change trap from port (LID= <*>),
E381,WARNING: empty hostlist in MRsvConfigure(),
